datetime,cpu_load1,cpu_load5,mem_used(M),mem_free(M)
2025-12-09_00:00:03,0,0,4318,105452
2025-12-09_00:00:08,0,0,4320,105451
2025-12-09_00:00:13,0,0,4320,105463
2025-12-09_00:00:18,0,0,4316,105466
2025-12-09_00:00:23,0,0,4316,105466
2025-12-09_00:00:28,0,0,4317,105466
2025-12-09_00:00:33,0,0,4315,105467
2025-12-09_00:00:38,0,0,4315,105467
2025-12-09_00:00:43,0,0,4315,105468
2025-12-09_00:00:48,0,0,4315,105468
2025-12-09_00:00:53,0,0,4314,105469
2025-12-09_00:00:58,0,0,4314,105469
2025-12-09_00:01:03,0,0,4318,105465
2025-12-09_00:01:08,0,0,4314,105468
2025-12-09_00:01:13,0,0,4314,105469
2025-12-09_00:01:18,0,0,4314,105468
2025-12-09_00:01:23,0,0,4314,105469
2025-12-09_00:01:28,0,0,4314,105468
2025-12-09_00:01:33,0,0,4314,105469
2025-12-09_00:01:38,0,0,4314,105469
2025-12-09_00:01:43,0,0,4314,105469
2025-12-09_00:01:48,0,0,4314,105469
2025-12-09_00:01:53,0,0,4314,105469
2025-12-09_00:01:58,0,0,4314,105469
2025-12-09_00:02:03,0,0,4313,105470
2025-12-09_00:02:08,0,0,4314,105469
2025-12-09_00:02:13,0,0,4313,105470
2025-12-09_00:02:18,0,0,4312,105471
2025-12-09_00:02:23,0,0,4312,105471
2025-12-09_00:02:28,0,0,4311,105471
2025-12-09_00:02:33,0,0,4311,105472
2025-12-09_00:02:38,0,0,4311,105472
2025-12-09_00:02:43,0,0,4310,105472
2025-12-09_00:02:48,0,0,4310,105472
2025-12-09_00:02:53,0,0,4310,105472
2025-12-09_00:02:58,0,0,4310,105472
2025-12-09_00:03:03,0,0,4313,105470
2025-12-09_00:03:08,0,0,4312,105470
2025-12-09_00:03:13,0,0,4312,105471
2025-12-09_00:03:18,0,0,4311,105471
2025-12-09_00:03:23,0,0,4311,105472
2025-12-09_00:03:28,0,0,4313,105470
2025-12-09_00:03:33,0,0,4312,105470
2025-12-09_00:03:38,0,0,4312,105470
2025-12-09_00:03:43,0,0,4312,105471
2025-12-09_00:03:48,0,0,4312,105471
2025-12-09_00:03:53,0,0,4312,105471
2025-12-09_00:03:58,0,0,4312,105471
2025-12-09_00:04:03,0,0,4317,105466
2025-12-09_00:04:08,0,0,4318,105464
2025-12-09_00:04:13,0,0,4317,105466
2025-12-09_00:04:18,0,0,4317,105465
2025-12-09_00:04:23,0,0,4318,105465
2025-12-09_00:04:28,0,0,4317,105466
2025-12-09_00:04:33,0,0,4313,105470
2025-12-09_00:04:38,0,0,4313,105470
2025-12-09_00:04:43,0,0,4312,105471
2025-12-09_00:04:48,0,0,4312,105471
2025-12-09_00:04:53,0,0,4313,105470
2025-12-09_00:04:58,0,0,4313,105470
2025-12-09_00:05:03,0,0,4319,105464
2025-12-09_00:05:08,0,0,4316,105467
2025-12-09_00:05:13,0,0,4315,105468
2025-12-09_00:05:18,0,0,4311,105472
2025-12-09_00:05:23,0,0,4311,105472
2025-12-09_00:05:28,0,0,4312,105471
2025-12-09_00:05:33,0,0,4312,105471
2025-12-09_00:05:38,0,0,4312,105471
2025-12-09_00:05:43,0,0,4311,105472
2025-12-09_00:05:48,0,0,4311,105472
2025-12-09_00:05:53,0,0,4311,105472
2025-12-09_00:05:58,0,0,4311,105472
2025-12-09_00:06:03,0,0,4320,105463
2025-12-09_00:06:08,0,0,4320,105463
2025-12-09_00:06:13,0,0,4318,105465
2025-12-09_00:06:18,0,0,4320,105463
2025-12-09_00:06:23,0,0,4320,105463
2025-12-09_00:06:28,0,0,4317,105466
2025-12-09_00:06:33,0,0,4317,105466
2025-12-09_00:06:38,0,0,4317,105466
2025-12-09_00:06:43,0,0,4317,105466
2025-12-09_00:06:48,0,0,4317,105466
2025-12-09_00:06:53,0,0,4317,105466
2025-12-09_00:06:58,0,0,4317,105466
2025-12-09_00:07:03,0,0,4320,105463
2025-12-09_00:07:08,0,0,4321,105462
2025-12-09_00:07:13,0,0,4320,105463
2025-12-09_00:07:18,0,0,4316,105466
2025-12-09_00:07:23,0,0,4316,105467
2025-12-09_00:07:28,0,0,4315,105468
2025-12-09_00:07:33,0,0,4314,105469
2025-12-09_00:07:38,0,0,4314,105469
2025-12-09_00:07:43,0,0,4314,105469
2025-12-09_00:07:48,0,0,4314,105469
2025-12-09_00:07:53,0,0,4314,105469
2025-12-09_00:07:58,0,0,4314,105469
2025-12-09_00:08:03,0,0,4318,105465
2025-12-09_00:08:08,0,0,4316,105467
2025-12-09_00:08:13,0,0,4314,105468
2025-12-09_00:08:18,0,0,4311,105472
2025-12-09_00:08:23,0,0,4311,105472
2025-12-09_00:08:28,0,0,4309,105474
2025-12-09_00:08:33,0,0,4309,105474
2025-12-09_00:08:38,0,0,4309,105474
2025-12-09_00:08:43,0,0,4308,105474
2025-12-09_00:08:48,0,0,4308,105474
2025-12-09_00:08:53,0,0,4308,105474
2025-12-09_00:08:58,0,0,4308,105474
2025-12-09_00:09:03,0,0,4319,105464
2025-12-09_00:09:08,0,0,4316,105467
2025-12-09_00:09:13,0,0,4315,105468
2025-12-09_00:09:18,0,0,4315,105468
2025-12-09_00:09:23,0,0,4315,105468
2025-12-09_00:09:28,0,0,4320,105463
2025-12-09_00:09:33,0,0,4319,105464
2025-12-09_00:09:38,0,0,4319,105464
2025-12-09_00:09:43,0,0,4319,105464
2025-12-09_00:09:48,0,0,4318,105464
2025-12-09_00:09:53,0,0,4318,105465
2025-12-09_00:09:58,0,0,4318,105465
2025-12-09_00:10:03,0,0,4325,105458
2025-12-09_00:10:08,0,0,4325,105458
2025-12-09_00:10:13,0,0,4324,105459
2025-12-09_00:10:18,0,0,4322,105461
2025-12-09_00:10:23,0,0,4322,105461
2025-12-09_00:10:28,0,0,4323,105460
2025-12-09_00:10:33,0,0,4322,105461
2025-12-09_00:10:38,0,0,4323,105460
2025-12-09_00:10:43,0,0,4322,105461
2025-12-09_00:10:48,0,0,4322,105461
2025-12-09_00:10:53,0,0,4322,105461
2025-12-09_00:10:58,0,0,4322,105461
2025-12-09_00:11:03,0,0,4330,105453
2025-12-09_00:11:08,0,0,4330,105453
2025-12-09_00:11:13,0,0,4329,105454
2025-12-09_00:11:18,0,0,4327,105456
2025-12-09_00:11:23,0,0,4326,105457
2025-12-09_00:11:28,0,0,4322,105461
2025-12-09_00:11:33,0,0,4321,105462
2025-12-09_00:11:38,0,0,4321,105462
2025-12-09_00:11:43,0,0,4320,105463
2025-12-09_00:11:48,0,0,4320,105463
2025-12-09_00:11:53,0,0,4320,105463
2025-12-09_00:11:58,0,0,4320,105463
2025-12-09_00:12:03,0,0,4333,105450
2025-12-09_00:12:08,0,0,4329,105454
